1608,Air Force One (1997),Action|Thriller,1997,3
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,1997,5
1722,Tomorrow Never Dies (1997),Action|Romance|Thriller,1997,4
1916,Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama|Romance,1998,5
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,1998,2
1954,Rocky (1976),Action|Drama|Romance,1976,5
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama,1987,5
2002,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama,1992,3
2105,Tron (1982),Action|Adventure|Animation|Sci-Fi|Thriller,1982,5
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure,1984,5
2193,Willow (1988),Action|Adventure|Fantasy,1988,5
2278,Ronin (1998),Action|Crime|Thriller,1998,3
2324,Life Is Beautiful (La Vita Çù bella) (1997),Comedy|Drama|Romance|War,1997,5
2330,Hands on a Hard Body (1996),Comedy|Documentary,1996,5
2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,1984,4
2407,Cocoon (1985),Comedy|Sci-Fi,1985,2
2527,Westworld (1973),Action|Sci-Fi|Thriller|Western,1973,5
2529,Planet of the Apes (1968),Action|Drama|Sci-Fi,1968,5
2599,Election (1999),Comedy,1999,5
2600,eXistenZ (1999),Action|Sci-Fi|Thriller,1999,5
2641,Superman II (1980),Action|Adventure|Fantasy|Sci-Fi,1980,3
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,1999,3
2693,Trekkies (1997),Documentary,1997,5
2802,Tequila Sunrise (1988),Action|Drama|Romance|Thriller,1988,4
2858,American Beauty (1999),Drama,1999,5
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,1990,5
2920,Children of Paradise (Les enfants du paradis) (1945),Drama|Romance,1945,5
2924,Drunken Master (Jui kuen) (1978),Action|Comedy,1978,5
2947,Goldfinger (1964),Action|Adventure|Thriller,1964,5
2959,Fight Club (1999),Action|Crime|Drama|Thriller,1999,5
2985,RoboCop (1987),Action|Crime|Sci-Fi,1987,3
2991,Live and Let Die (1973),Action|Adventure|Thriller,1973,5
3101,Fatal Attraction (1987),Drama|Thriller,1987,3
3107,Backdraft (1991),Action|Drama,1991,3
3142,U2: Rattle and Hum (1988),Documentary|Musical,1988,4
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,1994,3
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,1993,4
527,Schindler's List (1993),Drama|War,1993,5
1092,Basic Instinct (1992),Mystery|Thriller,1992,4.5
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,1974,4.5
1485,Liar Liar (1997),Comedy,1997,3
2273,Rush Hour (1998),Action|Comedy|Crime|Thriller,1998,4
2640,Superman (1978),Action|Adventure|Sci-Fi,1978,5
3623,Mission: Impossible 2 (2000),Action|Thriller,2000,4
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Children|Fantasy,2002,4
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,2003,4.5
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,2004,2
8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,2004,4
40815,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller,2005,4
48783,Flags of Our Fathers (2006),Drama|War,2006,4
49278,Deja Vu (DÇ¸jÇÿ Vu) (2006),Action|Romance|Sci-Fi|Thriller,2006,4.5
10,GoldenEye (1995),Action|Adventure|Thriller,1995,3
110,Braveheart (1995),Action|Drama|War,1995,3
150,Apollo 13 (1995),Adventure|Drama,1995,4
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,3
161,Crimson Tide (1995),Drama|Thriller|War,1995,4
177,Lord of Illusions (1995),Horror,1995,2
196,Species (1995),Horror|Sci-Fi,1995,3
231,Dumb & Dumber (1994),Comedy,1994,3
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,1994,2
273,Frankenstein (Mary Shelley's Frankenstein) (1994),Drama|Horror,1994,3
316,Stargate (1994),Action|Adventure|Sci-Fi,1994,3
344,Ace Ventura: Pet Detective (1994),Comedy,1994,2
349,Clear and Present Danger (1994),Action|Adventure|Thriller,1994,4
356,Forrest Gump (1994),Comedy|Drama|Romance|War,1994,3
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,1994,4
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,1993,3
434,Cliffhanger (1993),Action|Adventure|Thriller,1993,4
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993,5
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,1992,3
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,1991,4
590,Dances with Wolves (1990),Adventure|Drama|Western,1990,3
592,Batman (1989),Action|Crime|Sci-Fi|Thriller,1989,3
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,3
10,GoldenEye (1995),Action|Adventure|Thriller,1995,3
25,Leaving Las Vegas (1995),Drama|Romance,1995,3
32,12 Monkeys (Twelve Monkeys) (1995),Sci-Fi|Thriller,1995,3
36,Dead Man Walking (1995),Crime|Drama,1995,5
43,Restoration (1995),Drama,1995,2
85,Angels and Insects (1995),Drama|Romance,1995,3
86,White Squall (1996),Adventure|Drama,1996,3
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996,1
110,Braveheart (1995),Action|Drama|War,1995,3
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,3
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995,2
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995,1
260,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977),Action|Adventure|Sci-Fi,1977,4
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,1992,4
266,Legends of the Fall (1994),Drama|Romance|War|Western,1994,3
300,Quiz Show (1994),Drama,1994,3
316,Stargate (1994),Action|Adventure|Sci-Fi,1994,3
329,Star Trek: Generations (1994),Action|Adventure|Drama|Sci-Fi,1994,3
337,What's Eating Gilbert Grape (1993),Drama,1993,3
356,Forrest Gump (1994),Comedy|Drama|Romance|War,1994,3
357,Four Weddings and a Funeral (1994),Comedy|Romance,1994,3
372,Reality Bites (1994),Comedy|Drama|Romance,1994,3
377,Speed (1994),Action|Romance|Thriller,1994,3
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,1994,2
474,In the Line of Fire (1993),Action|Thriller,1993,5
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993,3
497,Much Ado About Nothing (1993),Comedy|Romance,1993,4
500,Mrs. Doubtfire (1993),Comedy|Drama,1993,3
529,Searching for Bobby Fischer (1993),Drama,1993,3
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,1993,3
540,Sliver (1993),Thriller,1993,3
550,Threesome (1994),Comedy|Romance,1994,3
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,1990,4
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,1991,2
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,1937,4
597,Pretty Woman (1990),Comedy|Romance,1990,4
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,1996,4
736,Twister (1996),Action|Adventure|Romance|Thriller,1996,5
912,Casablanca (1942),Drama|Romance,1942,4
920,Gone with the Wind (1939),Drama|Romance|War,1939,3
1012,Old Yeller (1957),Children|Drama,1957,4
1036,Die Hard (1988),Action|Crime|Thriller,1988,3
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,1971,2
1090,Platoon (1986),Drama|War,1986,4
1092,Basic Instinct (1992),Mystery|Thriller,1992,4
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,1982,5
1101,Top Gun (1986),Action|Romance,1986,3
1103,Rebel Without a Cause (1955),Drama,1955,4
1143,Three Lives and Only One Death (Trois vies & une seule mort) (1996),Comedy,1996,1
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,1980,4
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,1981,5
1203,12 Angry Men (1957),Drama,1957,5
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,1983,4
1225,Amadeus (1984),Drama,1984,4
1266,Unforgiven (1992),Drama|Western,1992,5
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,1985,5
1271,Fried Green Tomatoes (1991),Drama,1991,3
1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,1991,4
1287,Ben-Hur (1959),Action|Adventure|Drama|Romance,1959,5
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,1989,4
1307,When Harry Met Sally... (1989),Comedy|Romance,1989,3
1370,Die Hard 2 (1990),Action|Adventure|Thriller,1990,3
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,1984,3
1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi,1986,5
1387,Jaws (1975),Action|Horror,1975,5
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,4
2,Jumanji (1995),Adventure|Children|Fantasy,1995,4
5,Father of the Bride Part II (1995),Comedy,1995,3
7,Sabrina (1995),Comedy|Romance,1995,4
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,3
65,Bio-Dome (1996),Comedy,1996,2
104,Happy Gilmore (1996),Comedy,1996,3
110,Braveheart (1995),Action|Drama|War,1995,5
150,Apollo 13 (1995),Adventure|Drama,1995,4
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,3
158,Casper (1995),Adventure|Children,1995,2
168,First Knight (1995),Action|Drama|Romance,1995,4
180,Mallrats (1995),Comedy,1995,4
186,Nine Months (1995),Comedy|Romance,1995,3
216,Billy Madison (1995),Comedy,1995,3
223,Clerks (1994),Comedy,1994,5
231,Dumb & Dumber (1994),Comedy,1994,2
236,French Kiss (1995),Action|Comedy|Romance,1995,4
237,Forget Paris (1995),Comedy|Romance,1995,4
260,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977),Action|Adventure|Sci-Fi,1977,3
296,Pulp Fiction (1994),Comedy|Crime|Drama,1994,5
339,While You Were Sleeping (1995),Comedy|Romance,1995,3
344,Ace Ventura: Pet Detective (1994),Comedy,1994,3
356,Forrest Gump (1994),Comedy|Drama|Romance|War,1994,4
368,Maverick (1994),Adventure|Comedy|Western,1994,4
372,Reality Bites (1994),Comedy|Drama|Romance,1994,3
408,8 Seconds (1994),Drama,1994,3
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,1994,3
441,Dazed and Confused (1993),Comedy,1993,4
450,With Honors (1994),Comedy|Drama,1994,4
455,Free Willy (1993),Adventure|Children|Drama,1993,2
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993,4
497,Much Ado About Nothing (1993),Comedy|Romance,1993,5
500,Mrs. Doubtfire (1993),Comedy|Drama,1993,3
520,Robin Hood: Men in Tights (1993),Comedy,1993,4
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,1993,4
550,Threesome (1994),Comedy|Romance,1994,4
586,Home Alone (1990),Children|Comedy,1990,1
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,1990,5
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,1992,4
590,Dances with Wolves (1990),Adventure|Drama|Western,1990,3
597,Pretty Woman (1990),Comedy|Romance,1990,4
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,1996,4
663,Kids in the Hall: Brain Candy (1996),Comedy,1996,5
719,Multiplicity (1996),Comedy,1996,3
736,Twister (1996),Action|Adventure|Romance|Thriller,1996,3
765,Jack (1996),Comedy|Drama,1996,3
934,Father of the Bride (1950),Comedy,1950,4
986,Fly Away Home (1996),Adventure|Children,1996,3
1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama,1993,3
1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,1964,3
1042,That Thing You Do! (1996),Comedy|Drama,1996,3
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,1971,4
1080,Monty Python's Life of Brian (1979),Adventure|Comedy,1979,5
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,1982,3
1136,Monty Python and the Holy Grail (1975),Comedy,1975,5
1193,One Flew Over the Cuckoo's Nest (1975),Comedy|Drama,1975,5
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,1980,3
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,1981,4
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,1983,4
1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,1993,5
1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror,1987,5
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,1993,3
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,1985,4
1276,Cool Hand Luke (1967),Drama,1967,5
1278,Young Frankenstein (1974),Action|Comedy|Horror,1974,5
1285,Heathers (1989),Comedy,1989,4
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,1989,3
1297,Real Genius (1985),Comedy,1985,5
1304,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,1969,4
1359,Jingle All the Way (1996),Adventure|Children|Comedy,1996,2
1381,Grease 2 (1982),Comedy|Musical|Romance,1982,1
1393,Jerry Maguire (1996),Drama|Romance,1996,4
1394,Raising Arizona (1987),Comedy,1987,5
1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime,1996,4
1441,Benny & Joon (1993),Comedy|Romance,1993,5
1476,Private Parts (1997),Comedy|Drama,1997,4
